match_date,strategy,p1_name,p2_name,bet_side,odds,stake,won,pnl,bankroll_after
2026-01-06,flat_random,Alejandro Davidovich Fokina,Brandon Nakashima,P1,1.535,1.0,0,-1.0,89.815
2026-01-06,flat_random,Adam Walton,Rinky Hijikata,P1,1.7,1.0,0,-1.0,88.815
2026-01-06,flat_random,Tommy Paul,Giovanni Mpetshi Perricard,P1,1.44,1.0,0,-1.0,87.815
2026-01-06,flat_random,Denis Shapovalov,Raphael Collignon,P1,1.705,1.0,0,-1.0,86.815
2026-01-07,flat_random,Andrey Rublev,Yibing Wu,P2,2.62,1.0,0,-1.0,85.815
2026-01-07,flat_random,Marin Cilic,Nuno Borges,P2,1.87,1.0,1,0.87,86.685
2026-01-07,flat_random,Daniil Medvedev,Frances Tiafoe,P2,3.375,1.0,0,-1.0,85.685
2026-01-07,flat_random,Kamil Majchrzak,Reilly Opelka,P1,1.95,1.0,1,0.95,86.635
2026-01-07,flat_random,Alex Michelsen,Learner Tien,P2,1.52,1.0,0,-1.0,85.635
2026-01-08,flat_random,Marcos Giron,Alexandre Muller,P1,1.74,1.0,1,0.74,86.375
2026-01-08,flat_random,Karen Khachanov,Michael Mmoh,P2,3.25,1.0,1,2.25,88.625
2026-01-08,flat_random,Botic Van De Zandschulp,Alexander Bublik,P2,1.43,1.0,1,0.43,89.055
2026-01-08,flat_random,Lorenzo Sonego,Juncheng Shang,P2,1.57,1.0,1,0.57,89.625
2026-01-08,flat_random,Quentin Halys,Brandon Nakashima,P1,2.72,1.0,0,-1.0,88.625
2026-01-08,flat_random,Rinky Hijikata,Giovanni Mpetshi Perricard,P1,2.295,1.0,0,-1.0,87.625
2026-01-08,flat_random,Grigor Dimitrov,Raphael Collignon,P2,2.06,1.0,1,1.06,88.685
2026-01-09,flat_random,Alexander Bublik,Juncheng Shang,P1,1.48,1.0,1,0.48,89.165
2026-01-09,flat_random,Andrey Rublev,Nuno Borges,P1,1.45,1.0,1,0.45,89.615
2026-01-09,flat_random,Daniil Medvedev,Kamil Majchrzak,P1,1.135,1.0,1,0.135,89.75
2026-01-09,flat_random,Brandon Nakashima,Raphael Collignon,P1,1.595,1.0,1,0.595,90.345
2026-01-09,flat_random,Sebastian Korda,Alex Michelsen,P1,2.24,1.0,0,-1.0,89.345
2026-01-10,flat_random,Marcos Giron,Alexander Bublik,P1,3.32,1.0,0,-1.0,88.345
2026-01-10,flat_random,Andrey Rublev,Lorenzo Musetti,P2,1.81,1.0,1,0.81,89.155
2026-01-10,flat_random,Daniil Medvedev,Alex Michelsen,P2,3.8,1.0,0,-1.0,88.155
2026-01-11,flat_random,Alexander Bublik,Lorenzo Musetti,P2,1.94,1.0,0,-1.0,87.155
2026-01-11,flat_random,Daniil Medvedev,Brandon Nakashima,P1,1.26,1.0,1,0.26,87.415
2026-01-12,flat_random,Cameron Norrie,Hugo Gaston,P2,2.55,1.0,0,-1.0,86.415
2026-01-12,flat_random,Jenson Brooksby,James Watt,P1,1.04,1.0,1,0.04,86.455
2026-01-12,flat_random,Francisco Comesana,Valentin Royer,P1,2.05,1.0,1,1.05,87.505
2026-01-12,flat_random,Thanasi Kokkinakis,Sebastian Korda,P1,3.2,1.0,1,2.2,89.705
2026-01-12,flat_random,Reilly Opelka,Alexei Popyrin,P1,1.97,1.0,1,0.97,90.675
2026-01-12,flat_random,Daniel Altmaier,Jaume Munar,P2,1.37,1.0,1,0.37,91.045
2026-01-12,flat_random,Ugo Humbert,Terence Atmane,P1,1.29,1.0,1,0.29,91.335
2026-01-12,flat_random,Miomir Kecmanovic,Valentin Vacherot,P2,1.68,1.0,1,0.68,92.015
2026-01-13,flat_random,Marcos Giron,Alexandre Muller,P1,1.74,1.0,1,0.74,92.755
2026-01-13,flat_random,Gael Monfils,Fabian Marozsan,P2,1.58,1.0,1,0.58,93.335
2026-01-13,flat_random,Roberto Bautista Agut,Giovanni Mpetshi Perricard,P1,2.83,1.0,0,-1.0,92.335
2026-01-13,flat_random,Mariano Navone,Alex Michelsen,P1,3.35,1.0,0,-1.0,91.335
2026-01-13,flat_random,Marton Fucsovics,Ethan Quinn,P2,1.99,1.0,0,-1.0,90.335
2026-01-13,flat_random,Quentin Halys,Jacob Fearnley,P2,2.25,1.0,0,-1.0,89.335
2026-01-13,flat_random,Stefanos Tsitsipas,Aleksandar Vukic,P1,1.27,1.0,0,-1.0,88.335
2026-01-13,flat_random,Andrea Vavassori,Gabriel Diallo,P2,1.31,1.0,0,-1.0,87.335
2026-01-13,flat_random,Damir Dzumhur,Alexander Shevchenko,P1,2.11,1.0,0,-1.0,86.335
2026-01-13,flat_random,James Duckworth,Tomas Machac,P2,1.6,1.0,1,0.6,86.935
2026-01-13,flat_random,Rinky Hijikata,Tristan Schoolkate,P2,2.19,1.0,0,-1.0,85.935
2026-01-14,flat_random,Sebastian Baez,Jenson Brooksby,P1,2.39,1.0,1,1.39,87.325
2026-01-14,flat_random,Casper Ruud,Fabian Marozsan,P2,2.7,1.0,1,1.7,89.025
2026-01-14,flat_random,Nuno Borges,Eliot Spizzirri,P1,1.68,1.0,0,-1.0,88.025
2026-01-14,flat_random,Cameron Norrie,Giovanni Mpetshi Perricard,P1,1.7,1.0,0,-1.0,87.025
2026-01-14,flat_random,Alejandro Tabilo,Luciano Darderi,P1,1.56,1.0,0,-1.0,86.025
2026-01-14,flat_random,Reilly Opelka,Tommy Paul,P1,2.4,1.0,0,-1.0,85.025
2026-01-14,flat_random,Aleksandar Vukic,Andrea Vavassori,P2,2.3,1.0,0,-1.0,84.025
2026-01-14,flat_random,Jaume Munar,Francisco Cerundolo,P1,1.64,1.0,1,0.64,84.665
2026-01-14,flat_random,Tallon Griekspoor,Ugo Humbert,P1,2.43,1.0,0,-1.0,83.665
2026-01-14,flat_random,Alejandro Davidovich Fokina,Rinky Hijikata,P2,3.05,1.0,0,-1.0,82.665
2026-01-14,flat_random,Marton Fucsovics,Alexander Shevchenko,P1,1.42,1.0,0,-1.0,81.665
2026-01-14,flat_random,Quentin Halys,Tomas Machac,P2,1.56,1.0,1,0.56,82.225
2026-01-15,flat_random,Marcos Giron,Luciano Darderi,P1,1.37,1.0,1,0.37,82.595
2026-01-15,flat_random,Tommy Paul,Aleksandar Vukic,P2,4.1,1.0,0,-1.0,81.595
2026-01-15,flat_random,Ugo Humbert,Alexander Shevchenko,P2,3.85,1.0,0,-1.0,80.595
2026-01-15,flat_random,Alejandro Davidovich Fokina,Valentin Vacherot,P2,2.52,1.0,0,-1.0,79.595
2026-01-15,flat_random,Jaume Munar,Tomas Machac,P1,2.04,1.0,0,-1.0,78.595
2026-01-16,flat_random,Marcos Giron,Sebastian Baez,P1,1.47,1.0,0,-1.0,77.595
2026-01-16,flat_random,Sebastian Baez,Ben Shelton,P2,1.21,1.0,0,-1.0,76.595
2026-01-16,flat_random,Ugo Humbert,Alejandro Davidovich Fokina,P1,1.75,1.0,1,0.75,77.345
2026-01-16,flat_random,Tommy Paul,Tomas Machac,P2,2.34,1.0,1,1.34,78.685
2026-01-17,flat_random,Ugo Humbert,Tomas Machac,P1,1.66,1.0,0,-1.0,77.685
2026-03-03,flat_random,Nikoloz Basilashvili,A C Cox,P2,1.4,1.0,1,0.4,78.085
2026-03-03,flat_random,Aleksandar Vukic,Dino Prizmic,P2,1.51,1.0,1,0.51,78.595
2026-03-03,flat_random,Mitchell Krueger,Dalibor Svrcina,P1,2.1,1.0,0,-1.0,77.595
2026-03-03,flat_random,Dane Sweeny,Daniel Merida Aguilar,P1,2.22,1.0,0,-1.0,76.595
2026-03-03,flat_random,Sho Shimabukuro,Martin Landaluce,P2,1.72,1.0,0,-1.0,75.595
2026-03-03,flat_random,Benjamin Bonzi,Soutatsu Mochizuki,P1,1.28,1.0,1,0.28,75.875
2026-03-03,flat_random,Vit Kopriva,Rei Sakamoto,P2,2.1,1.0,0,-1.0,74.875
2026-03-03,flat_random,Moez Echargui,A A Bunt,P1,1.66,1.0,0,-1.0,73.875
2026-03-03,flat_random,A A Bunt,Francesco Maestrelli,P2,2.4,1.0,1,1.4,75.275
2026-03-04,flat_random,Martin Damm,Camilo Ugo Carabelli,P2,2.5,1.0,1,1.5,76.775
2026-03-04,flat_random,James Duckworth,Dalibor Svrcina,P1,3.0,1.0,0,-1.0,75.775
2026-03-04,flat_random,Reilly Opelka,Ethan Quinn,P2,1.7,1.0,0,-1.0,74.775
2026-03-04,flat_random,Vit Kopriva,Dalibor Svrcina,P1,1.7,1.0,0,-1.0,73.775
2026-03-04,flat_random,Daniel Altmaier,Miomir Kecmanovic,P2,1.2,1.0,1,0.2,73.975
2026-03-04,flat_random,A A Bunt,A C Chesterfield,P1,1.66,1.0,0,-1.0,72.975
2026-03-04,flat_random,Matthew McDonald,Trevor Svajda,P1,1.31,1.0,1,0.31,73.285
2026-03-04,flat_random,Rinky Hijikata,Ignacio Buse,P1,2.15,1.0,1,1.15,74.435
2026-03-04,flat_random,Tomas Barrios Vera,Alexis Galarneau,P1,1.98,1.0,0,-1.0,73.435
2026-03-04,flat_random,A J Warmenhoyen,Zizou Bergs,P1,2.04,1.0,0,-1.0,72.435
2026-03-04,flat_random,Marcos Giron,Mariano Navone,P2,3.1,1.0,0,-1.0,71.435
2026-03-04,flat_random,Mattia Bellucci,Gabriel Diallo,P1,2.03,1.0,0,-1.0,70.435
2026-03-04,flat_random,Elias Ymer,Tristan Schoolkate,P2,1.6,1.0,1,0.6,71.035
2026-03-04,flat_random,Marton Fucsovics,A C Cox,P1,2.51,1.0,1,1.51,72.545
2026-03-05,flat_random,Gael Monfils,Alexis Galarneau,P1,1.6,1.0,1,0.6,73.145
